"","Beer","Brewery","Location","Style","Size","ABV","IBU"
"2001","8-Bit Pale Ale","Tallgrass Brewing Company","Manhattan, KS","American Pale Ale (APA)","16 oz.","5.2%","N/A"
"2002","Triangle India Pale Ale","Triangle Brewing Company","Durham, NC","American IPA","12 oz.","5.7%","N/A"
"2003","Longboard Island Lager","Kona Brewing Company","Kona, HI","American Amber / Red Lager","12 oz.","4.6%","18"
"2004","Bridal Veil Rye Pale Ale","Telluride Brewing Company","Telluride, CO","American Pale Ale (APA)","12 oz.","5.5%","N/A"
"2005","Schlafly Hefeweizen","Schlafly Brewing Company","Saint Louis, MO","Hefeweizen","12 oz.","4.1%","16"
"2006","Snowshoe White Ale","Midnight Sun Brewing Company","Anchorage, AK","Witbier","12 oz.","4.8%","12"
"2007","Kodiak Brown Ale","Midnight Sun Brewing Company","Anchorage, AK","American Brown Ale","12 oz.","5.0%","24"
"2008","HGH (Home Grown Hops): Part Duh","Oskar Blues Brewery","Longmont, CO","American Strong Ale","12 oz.","8.0%","70"
"2009","Wee Muckle (2011)","Sun King Brewing Company","Indianapolis, IN","Scotch Ale / Wee Heavy","16 oz.","9.0%","30"
"2010","Long Hammer IPA","Redhook Brewery","Woodinville, WA","American IPA","12 oz.","6.5%","44"
"2011","Balt Altbier","Union Craft Brewing","Baltimore, MD","Altbier","12 oz.","6.0%","N/A"
"2012","312 Urban Wheat Ale (2012)","Goose Island Brewing Company","Chicago, IL","American Pale Wheat Ale","12 oz.","4.2%","20"
"2013","Narragansett Cream Ale","Narragansett Brewing Company","Providence, RI","Cream Ale","16 oz.","5.0%","22"
"2014","Big Sky IPA (2012)","Big Sky Brewing Company","Missoula, MT","American IPA","12 oz.","6.2%","65"
"2015","Shift","New Belgium Brewing Company","Fort Collins, CO","American Pale Lager","16 oz.","5.0%","29"
"2016","Bomb Lager (New Recipe)","Bomb Beer Company","New York, NY","Munich Helles Lager","12 oz.","5.1%","N/A"
"2017","White Thai","Westbrook Brewing Company","Mt. Pleasant, SC","Witbier","12 oz.","5.0%","16"
"2018","Westbrook IPA","Westbrook Brewing Company","Mt. Pleasant, SC","American IPA","12 oz.","6.8%","65"
"2019","Blackbeary Wheat","Long Trail Brewing Company","Bridgewater Corners,VT","Fruit / Vegetable Beer","12 oz.","4.0%","8"
"2020","Long Trail Ale (1)","Long Trail Brewing Company","Bridgewater Corners,VT","Altbier","12 oz.","4.6%","30"
"2021","Barney Flats Oatmeal Stout (2012)","Anderson Valley Brewing Company","Boonville, CA","Oatmeal Stout","12 oz.","5.7%","13"
"2022","Maduro Brown Ale","Cigar City Brewing Company","Tampa, FL","American Brown Ale","12 oz.","5.5%","25"
"2023","Hotter Than Helles Lager","Cigar City Brewing Company","Tampa, FL","Munich Helles Lager","12 oz.","5.0%","N/A"
"2024","Tocobaga Red Ale","Cigar City Brewing Company","Tampa, FL","American Amber / Red Ale","12 oz.","7.2%","75"
"2025","668 Neighbor of the Beast12 oz.","New England Brewing Company","Woodbridge, CT","Belgian Pale Ale","12 oz.","9.0%","N/A"
"2026","Churchkey Pilsner Style Beer","Churchkey Can Company","Seattle, WA","American Pilsner","12 oz.","4.9%","29"
"2027","East India Pale Ale","Brooklyn Brewery","Brooklyn, NY","English India Pale Ale (IPA)","12 oz.","6.8%","47"
"2028","Deviant Dale's IPA","Oskar Blues Brewery","Longmont, CO","American Double / Imperial IPA","16 oz.","8.0%","N/A"
"2029","Ranger IPA","New Belgium Brewing Company","Fort Collins, CO","American IPA","16 oz.","6.5%","70"
"2030","Fat Tire Amber Ale","New Belgium Brewing Company","Fort Collins, CO","American Amber / Red Ale","16 oz.","5.2%","18"
"2031","Sunrise Oatmeal Pale Ale","Fort George Brewery","Astoria, OR","American Pale Ale (APA)","16 oz.","5.5%","N/A"
"2032","Persnickety Pale","Two Beers Brewing Company","Seattle, WA","American Pale Ale (APA)","12 oz.","5.7%","36"
"2033","Jon Boat Coastal Ale","Intuition Ale Works","Jacksonville, FL","American Blonde Ale","12 oz.","4.5%","20"
"2034","I-10 IPA","Intuition Ale Works","Jacksonville, FL","American IPA","12 oz.","6.8%","55"
"2035","Eclipse Black IPA","Crabtree Brewing Company","Greeley, CO","American Black Ale","16 oz.","7.7%","71"
"2036","Le Mort Vivant (2011)","Southern Star Brewing Company","Conroe, TX","Bière de Garde","12 oz.","6.9%","23"
"2037","People's Pale Ale","Intuition Ale Works","Jacksonville, FL","American Pale Ale (APA)","12 oz.","5.3%","28"
"2038","Cavatica Stout","Fort George Brewery","Astoria, OR","American Double / Imperial Stout","16 oz.","8.8%","N/A"
"2039","Rocket Girl","Asheville Brewing Company","Asheville, NC","Kölsch","12 oz.","3.2%","27"
"2040","Point the Way IPA (2012)","Golden Road Brewing","Los Angeles, CA","American IPA","16 oz.","5.9%","60"
"2041","Golden Road Hefeweizen (2012)","Golden Road Brewing","Los Angeles, CA","Hefeweizen","16 oz.","4.6%","15"
"2042","La Perouse White","Maui Brewing Company","Lahaina, HI","Witbier","12 oz.","5.0%","12"
"2043","Jai Alai IPA","Cigar City Brewing Company","Tampa, FL","American IPA","12 oz.","7.5%","70"
"2044","Florida Cracker Belgian Wit","Cigar City Brewing Company","Tampa, FL","Witbier","12 oz.","5.0%","18"
"2045","Old Elephant Foot IPA","Tampa Bay Brewing Company","Tampa, FL","American IPA","16 oz.","7.0%","80"
"2046","Bacon Brown Ale","Uncommon Brewers","Santa Cruz, CA","American Brown Ale","16 oz.","6.8%","N/A"
"2047","Canyon Cream Ale","Crow Peak Brewing Company","Spearfish, SD","Cream Ale","12 oz.","5.5%","N/A"
"2048","Walter's Premium Pilsener Beer","Northwoods Brewpub","Eau Claire, WI","German Pilsener","12 oz.","4.5%","N/A"
"2049","Big Cock IPA","Great River Brewery","Davenport, IA","American IPA","16 oz.","7.0%","70"
"2050","Oktoberfest","Great River Brewery","Davenport, IA","Märzen / Oktoberfest","16 oz.","5.9%","25"
"2051","Tour de Nez Belgian IPA (Current)","Buckbean Brewing Company","Reno, NV","Belgian IPA","16 oz.","8.0%","N/A"
"2052","Velvet Rooster","Tallgrass Brewing Company","Manhattan, KS","Tripel","16 oz.","8.5%","N/A"
"2053","Dirty Blonde Ale","Atwater Brewery","Detroit, MI","American Blonde Ale","12 oz.","4.5%","8"
"2054","Amber Road","Baxter Brewing Company","Lewiston, ME","American Amber / Red Ale","12 oz.","5.5%","35"
"2055","Grapefruit Jungle (GFJ) (2011)","Sun King Brewing Company","Indianapolis, IN","American IPA","16 oz.","7.5%","77"
"2056","Special Edition: Allies Win The War!","21st Amendment Brewery","San Francisco, CA","English Strong Ale","12 oz.","8.5%","52"
"2057","Flagship IPA","Carolina Brewery","Pittsboro, NC","English India Pale Ale (IPA)","12 oz.","5.7%","N/A"
"2058","Tin Roof Blonde Ale","Tin Roof Brewing Company","Baton Rouge, LA","American Blonde Ale","12 oz.","4.5%","18"
"2059","Grand Circus IPA","Atwater Brewery","Detroit, MI","American IPA","12 oz.","5.0%","62"
"2060","Atwater's Lager","Atwater Brewery","Detroit, MI","Munich Helles Lager","12 oz.","5.0%","12"
"2061","Sun King Oktoberfest (2011)","Sun King Brewing Company","Indianapolis, IN","Märzen / Oktoberfest","16 oz.","5.5%","23"
"2062","Diesel","Sixpoint Craft Ales","Brooklyn, NY","American Stout","16 oz.","6.3%","69"
"2063","Dolores River Hefeweizen","Dolores River Brewery","Dolores, CO","Hefeweizen","16 oz.","???","N/A"
"2064","Winter Solstice","Anderson Valley Brewing Company","Boonville, CA","Winter Warmer","12 oz.","6.9%","6"
"2065","McKinney Eddy Amber Ale","Piney River Brewing Company","Bucryus, MO","American Amber / Red Ale","16 oz.","5.5%","20"
"2066","Inclined Plane Ale","Flat Rock Brewing Company","Smithton, PA","American IPA","12 oz.","???","N/A"
"2067","SoDo Brown Ale","Two Beers Brewing Company","Seattle, WA","American Brown Ale","12 oz.","5.4%","20"
"2068","Immersion Amber Ale (2011)","Two Beers Brewing Company","Seattle, WA","American Amber / Red Ale","12 oz.","5.2%","27"
"2069","40th Annual Bix Street Fest Copper Ale (Current)","Great River Brewery","Davenport, IA","American Amber / Red Ale","16 oz.","4.8%","25"
"2070","Jockamo IPA","Abita Brewing Company","Abita Springs, LA","American IPA","12 oz.","6.5%","52"
"2071","Purple Haze","Abita Brewing Company","Abita Springs, LA","Fruit / Vegetable Beer","12 oz.","4.2%","13"
"2072","Abita Amber","Abita Brewing Company","Abita Springs, LA","American Amber / Red Lager","12 oz.","4.5%","17"
"2073","Bomb Lager (Old Recipe)","Bomb Beer Company","New York, NY","Munich Helles Lager","12 oz.","4.5%","27"
"2074","Autumnation (2011-12) (2011)","Sixpoint Craft Ales","Brooklyn, NY","Pumpkin Ale","16 oz.","6.0%","48"
"2075","High Country Pilsner (Current)","Mammoth Brewing Company","Mammoth Lakes, CA","German Pilsener","12 oz.","4.2%","N/A"
"2076","T-Rail Pale Ale","Old Forge Brewing Company","Danville, PA","American Pale Ale (APA)","16 oz.","5.5%","N/A"
"2077","Endless Summer Ale (2011)","Old Forge Brewing Company","Danville, PA","American Pale Wheat Ale","16 oz.","4.8%","N/A"
"2078","Firewater India Pale Ale","Catawba Brewing Company","Morganton, NC","American IPA","12 oz.","5.2%","N/A"
"2079","Great Falls Select Pale Ale","Harvest Moon Brewing Company","Belt, MT","American Blonde Ale","12 oz.","???","N/A"
"2080","Evolutionary IPA (2011)","Two Beers Brewing Company","Seattle, WA","American IPA","12 oz.","6.2%","70"
"2081","Roler Bock (Current)","Buckbean Brewing Company","Reno, NV","Maibock / Helles Bock","16 oz.","???","N/A"
"2082","Alteration","Hops & Grain Brewery","Austin, TX","Altbier","12 oz.","5.1%","40"
"2083","Pale Dog","Hops & Grain Brewery","Austin, TX","American Pale Ale (APA)","12 oz.","6.0%","50"
"2084","Alphadelic IPA (2011)","Hop Valley Brewing Company","Springfield, OR","American IPA","12 oz.","6.5%","90"
"2085","Double D Blonde (2011)","Hop Valley Brewing Company","Springfield, OR","American Blonde Ale","12 oz.","4.9%","20"
"2086","Hilliard's Amber Ale","Hilliard's Beer","Seattle, WA","American Amber / Red Ale","16 oz.","5.5%","60"
"2087","Hilliard's Saison","Hilliard's Beer","Seattle, WA","Saison / Farmhouse Ale","16 oz.","6.6%","30"
"2088","Voodoo Bengal Pale Ale","Tin Roof Brewing Company","Baton Rouge, LA","American Pale Ale (APA)","12 oz.","5.5%","37"
"2089","Perfect Tin Amber","Tin Roof Brewing Company","Baton Rouge, LA","American Amber / Red Ale","12 oz.","4.5%","28"
"2090","Hopitoulas IPA","New Orleans Lager & Ale Brewing ...","New Orleans, LA","American IPA","16 oz.","6.5%","N/A"
"2091","NOLA Brown Ale","New Orleans Lager & Ale Brewing ...","New Orleans, LA","English Dark Mild Ale","12 oz.","3.9%","N/A"
"2092","NOLA Blonde Ale","New Orleans Lager & Ale Brewing ...","New Orleans, LA","American Blonde Ale","12 oz.","4.9%","N/A"
"2093","Trailhead India Style Session Ale (2011)","Two Beers Brewing Company","Seattle, WA","American IPA","12 oz.","4.8%","48"
"2094","Threadless IPA","Finch's Beer Company","Chicago, IL","American IPA","16 oz.","7.5%","N/A"
"2095","Farmer Ted's Farmhouse Cream Ale","Catawba Brewing Company","Morganton, NC","Cream Ale","12 oz.","5.6%","N/A"
"2096","Missouri Mule India Pale Ale","Piney River Brewing Company","Bucryus, MO","American IPA","16 oz.","7.0%","70"
