Beer,Brewery,State,Region,Style_12,Style_05,Size,ABV,IBU
Dankosaurus,Cedar Creek Brewery,TX,South,IPA,Strong Ale,16,6.8,70
Bravo Four Point,Devil's Backbone Brewing Company,VA,South,Pale Ale,Ale,12,4.4,45
Cream Ale,Newburgh Brewing Company,NY,Northeast,Pale Ale,Ale,12,4.2,35
Might As Well IPL,Golden Road Brewing,CA,West,Lager,Lager,16,7.2,75
Captain's Daughter,Grey Sail Brewing Company,RI,Northeast,IPA,Strong Ale,12,8.5,69
Skylight,New Republic Brewing Company,TX,South,German Ale,Ale,12,5.6,20
Kadigan,New Republic Brewing Company,TX,South,Pale Ale,Ale,12,5.6,30
Dammit Jim!,New Republic Brewing Company,TX,South,Dark Ale,Dark,12,5.2,50
Infamous IPA,Infamous Brewing Company,TX,South,IPA,Strong Ale,12,7.0,75
Getaway,Lift Bridge Brewing Company,MN,Midwest,German Lager,Lager,16,5.2,30
Pub Ale,Lucky Town Brewing Company,MS,Midwest,Dark Ale,Dark,12,3.8,18
Ballistic Blonde,Lucky Town Brewing Company,MS,Midwest,Pale Ale,Ale,12,5.1,31
Golden Fleece,Quest Brewing Company,SC,South,Pale Ale,Ale,12,4.5,35
Tropicalia,Creature Comforts,GA,South,IPA,Strong Ale,12,6.5,65
Pursuit,Half Full Brewery,CT,Northeast,IPA,Strong Ale,12,7.0,40
Vertex IPA,Destihl Brewery,IL,Midwest,IPA,Strong Ale,12,6.3,76
Here Gose Nothin',Destihl Brewery,IL,Midwest,Sour,Other,12,5.0,12
Ale Cider,Chapman's Brewing,IN,Midwest,Sour,Other,16,6.5,8
Pail Ale,Chapman's Brewing,IN,Midwest,Pale Ale,Ale,16,5.5,30
Operation Homefront,Cigar City Brewing Company,FL,South,IPA,Strong Ale,12,6.2,65
Wandering Pelican,Cigar City Brewing Company,FL,South,Dark Ale,Dark,12,8.2,65
Norm's Gateway IPA,Griffin Claw Brewing Company,MI,Midwest,IPA,Strong Ale,12,4.0,55
Barrio Blanco,Barrio Brewing Company,AZ,West,IPA,Strong Ale,12,6.0,60
Giant DIPA,Santa Cruz Mountain Brewing,CA,West,IPA,Strong Ale,16,8.9,88
Fistful Of Hops Red,Sun King Brewing Company,IN,Midwest,IPA,Strong Ale,16,6.4,75
Fistful of Hops Orange,Sun King Brewing Company,IN,Midwest,IPA,Strong Ale,16,6.3,75
Fistful Of Hops Blue,Sun King Brewing Company,IN,Midwest,IPA,Strong Ale,16,6.4,75
Fistful of Hops Green,Sun King Brewing Company,IN,Midwest,IPA,Strong Ale,16,6.4,75
The Great Pumpcan,Madtree Brewing Company,OH,Midwest,Sour,Other,16,7.9,18
Franz,Rhinegeist Brewery,OH,Midwest,German Lager,Lager,12,5.2,21
Cherry Ale,Great Crescent Brewery,IN,Midwest,Sour,Other,16,5.7,18
Shift,New Belgium Brewing Company,CO,West,Lager,Lager,12,5.0,29
Bitter Bitch,18th Street Brewery,IN,Midwest,Pale Ale,Ale,12,6.1,60
1554 Black Lager,New Belgium Brewing Company,CO,West,Lager,Lager,12,5.6,21
LuckenBock,South Austin Brewery,TX,South,German Lager,Lager,16,7.0,18
Texas Pale Ale (TPA),South Austin Brewery,TX,South,IPA,Strong Ale,16,5.5,40
Kol' Beer,South Austin Brewery,TX,South,German Ale,Ale,16,5.0,22
FMB 101,Figueroa Mountain Brewing Company,CA,West,German Ale,Ale,12,4.8,20
Wagon Party,Bauhaus Brew Labs,MN,Midwest,Lager,Lager,12,5.4,55
Sky-Five,Bauhaus Brew Labs,MN,Midwest,IPA,Strong Ale,12,6.7,70
Stargrazer,Bauhaus Brew Labs,MN,Midwest,German Lager,Lager,12,5.0,28
Wonderstuff,Bauhaus Brew Labs,MN,Midwest,German Lager,Lager,12,5.4,48
Sensi Harvest,Sixpoint Craft Ales,NY,Northeast,Pale Ale,Ale,12,4.7,50
Ozark American Pale Ale,Ozark Beer Company,AR,South,Pale Ale,Ale,12,4.0,39
Saison Pamplemousse,Golden Road Brewing,CA,West,Ale - Other,Ale,12,5.8,35
Ghost Ship White IPA,Capital Brewery,WI,Midwest,IPA,Strong Ale,12,5.6,55
Upland Wheat Ale,Upland Brewing Company,IN,Midwest,Belgian,Ale,16,4.5,15
Overgrown American Pale Ale,Otter Creek Brewing,VT,Northeast,Pale Ale,Ale,12,5.5,55
077XX,Carton Brewing Company,NJ,Northeast,IPA,Strong Ale,16,7.8,80
Almanac IPA,Tractor Brewing Company,NM,West,IPA,Strong Ale,12,6.2,72
Farmer's Tan Red Ale,Tractor Brewing Company,NM,West,Dark Ale,Dark,12,6.0,30
Zen,Rhinegeist Brewery,OH,Midwest,Pale Ale,Ale,12,4.3,45
SunSpot Golden Ale,SanTan Brewing Company,AZ,West,Pale Ale,Ale,12,5.0,15
Missile IPA,Champion Brewing Company,VA,South,IPA,Strong Ale,12,7.0,65
Thai Style White IPA,Upslope Brewing Company,CO,West,IPA,Strong Ale,12,6.5,33
Summer Session Ale,Peak Organic Brewing Company,ME,Northeast,Pale Ale,Ale,12,5.0,61
Second Fiddle,Fiddlehead Brewing Company,VT,Northeast,IPA,Strong Ale,16,8.2,80
Long Trail IPA,Long Trail Brewing Company,VT,Northeast,IPA,Strong Ale,12,5.9,42
Trader Session IPA,Uinta Brewing Company,UT,West,IPA,Strong Ale,12,4.0,42
Long Trail Ale,Long Trail Brewing Company,VT,Northeast,Dark Ale,Dark,12,4.6,30
Commotion APA,Great Raft Brewing Company,LA,South,Pale Ale,Ale,12,5.2,49
Freeride APA,Alaskan Brewing Company,AK,West,Pale Ale,Ale,12,5.3,40
Alaskan Amber,Alaskan Brewing Company,AK,West,German Ale,Ale,12,5.3,18
40 Mile IPA,Three Notch'd Brewing Company,VA,South,IPA,Strong Ale,12,6.0,50
Lake House,Capital Brewery,WI,Midwest,German Lager,Lager,16,4.6,18
Fresh Slice White IPA,Otter Creek Brewing,VT,Northeast,IPA,Strong Ale,12,5.5,45
Montauk Summer Ale,Montauk Brewing Company,NY,Northeast,Pale Ale,Ale,12,5.6,28
Sierra Nevada Pale Ale,Sierra Nevada Brewing Company,CA,West,Pale Ale,Ale,16,5.6,37
White Rabbit,Independence Brewing Company,TX,South,Belgian,Ale,12,5.9,27
Let It Ride IPA,Indeed Brewing Company,MN,Midwest,IPA,Strong Ale,12,6.8,90
Bent Hop Golden IPA,Bent Paddle Brewing Company,MN,Midwest,IPA,Strong Ale,12,6.2,68
Blackmarket Rye IPA,Black Market Brewing Company,CA,West,IPA,Strong Ale,12,7.5,35
Black Market Hefeweizen,Black Market Brewing Company,CA,West,German Ale,Ale,12,5.0,8
Aftermath Pale Ale,Black Market Brewing Company,CA,West,Pale Ale,Ale,12,5.8,44
Groupe G,Headlands Brewing Company,CA,West,IPA,Strong Ale,16,7.6,65
Pt. Bonita Rustic Lager,Headlands Brewing Company,CA,West,Lager,Lager,16,6.2,40
Hill 88 Double IPA,Headlands Brewing Company,CA,West,IPA,Strong Ale,16,8.8,77
Longhop IPA,Bolero Snort Brewery,NJ,Northeast,IPA,Strong Ale,16,4.2,30
Lucky Buck,Bolero Snort Brewery,NJ,Northeast,Stout / Porter,Dark,16,4.0,34
Hoperation Overload,Destihl Brewery,IL,Midwest,IPA,Strong Ale,12,9.6,85
Abbey's Single Ale (Current),Destihl Brewery,IL,Midwest,Belgian,Ale,12,4.9,22
Thrasher Session India Pale Ale,Defiance Brewing Company,KS,Midwest,IPA,Strong Ale,12,4.5,44
Gutch English Style Mild Ale,Defiance Brewing Company,KS,Midwest,Pale Ale,Ale,12,5.0,16
Hop Freak,Milwaukee Brewing Company,WI,Midwest,IPA,Strong Ale,16,8.7,80
Whitecap Wit,Catawba Island Brewing,OH,Midwest,Belgian,Ale,16,4.8,16
Seiche Scottish Ale,Catawba Island Brewing,OH,Midwest,Strong Ale,Strong Ale,16,7.8,16
Naked Pig Pale Ale,Back Forty Beer Company,AL,South,Pale Ale,Ale,12,6.0,43
El Chingon IPA,Four Corners Brewing Company,TX,South,IPA,Strong Ale,12,7.6,73
Local Buzz,Four Corners Brewing Company,TX,South,Pale Ale,Ale,12,5.2,20
Saint Archer White Ale,Saint Archer Brewery,CA,West,Belgian,Ale,12,5.0,15
Saint Archer IPA,Saint Archer Brewery,CA,West,IPA,Strong Ale,12,6.8,66
Saint Archer Pale Ale,Saint Archer Brewery,CA,West,Pale Ale,Ale,12,5.2,40
Saint Archer Blonde,Saint Archer Brewery,CA,West,German Ale,Ale,12,4.8,22
BLAKKR,Real Ale Brewing Company,TX,South,Dark Ale,Dark,12,9.9,85
Supergoose IPA,Hale's Ales,WA,West,IPA,Strong Ale,12,6.9,67
IPA & a Half,Tommyknocker Brewery,CO,West,IPA,Strong Ale,12,7.3,87
Truth,Rhinegeist Brewery,OH,Midwest,IPA,Strong Ale,12,7.2,75
Cougar,Rhinegeist Brewery,OH,Midwest,Pale Ale,Ale,12,4.8,25
American India Red Ale,Black Shirt Brewing Company,CO,West,Strong Ale,Strong Ale,12,7.1,83
American Red Saison,Black Shirt Brewing Company,CO,West,Ale - Other,Ale,12,7.8,34
Colorado Red Ale,Black Shirt Brewing Company,CO,West,Dark Ale,Dark,12,6.6,44
Original Slacker Ale,Round Guys Brewing,PA,Northeast,Dark Ale,Dark,12,5.6,40
Chin Music Amber Lager,Center of the Universe Brewing C...,VA,South,Lager,Lager,12,4.5,24
Hefe Lemon,Widmer Brothers Brewing Company,OR,West,Other,Other,12,4.9,30
Hefe Black,Widmer Brothers Brewing Company,OR,West,German Ale,Ale,12,4.9,30
Widmer Brothers Hefeweizen,Widmer Brothers Brewing Company,OR,West,German Ale,Ale,12,4.9,30
Provision,Hop Farm Brewing Company,PA,Northeast,Ale - Other,Ale,12,4.2,25
One Nut Brown,Hop Farm Brewing Company,PA,Northeast,Dark Ale,Dark,12,4.7,28
Hop Farm IPA,Hop Farm Brewing Company,PA,Northeast,IPA,Strong Ale,12,5.8,45
Adam's Stout,Liquid Hero Brewery,PA,Northeast,Stout / Porter,Dark,12,5.8,40
Our Legacy IPA,Matt Brewing Company,NY,Northeast,IPA,Strong Ale,12,6.5,60
312 Urban Wheat Ale,Goose Island Brewing Company,IL,Midwest,Pale Ale,Ale,12,4.2,18
Squatters Hop Rising Double IPA,Utah Brewers Cooperative,UT,West,IPA,Strong Ale,12,9.0,75
LIFT,Madtree Brewing Company,OH,Midwest,German Ale,Ale,12,4.7,11
SPRYE,Madtree Brewing Company,OH,Midwest,Pale Ale,Ale,12,5.0,40
Pleasure Town IPA,Midnight Sun Brewing Company,AK,West,IPA,Strong Ale,12,6.3,61
#9,Magic Hat Brewing Company,VT,Northeast,Sour,Other,16,5.1,20
The Tradition,DC Brau Brewing Company,DC,South,Pale Ale,Ale,12,5.0,15
Hoptopus Double IPA,Beach Brewing Company,VA,South,IPA,Strong Ale,16,8.8,108
Rodeo Rye Pale Ale,Payette Brewing Company,ID,West,Pale Ale,Ale,12,4.2,35
Last Stop IPA,Brew Bus Brewing,FL,South,IPA,Strong Ale,12,7.2,60
Are Wheat There Yet?,Brew Bus Brewing,FL,South,Pale Ale,Ale,12,5.5,28
Filthy Hoppin' IPA,Dirty Bucket Brewing Company,WA,West,IPA,Strong Ale,16,6.5,72
Thunder Ann,Jackalope Brewing Company,TN,South,Pale Ale,Ale,12,5.5,37
Iron Butt Red Ale,Slanted Rock Brewing Company,ID,West,Dark Ale,Dark,12,5.8,39
On the Count of 3 (2015),Baxter Brewing Company,ME,Northeast,German Ale,Ale,16,7.0,42
2020 IPA,Golden Road Brewing,CA,West,IPA,Strong Ale,16,7.4,74
Autocrat Coffee Milk Stout,Narragansett Brewing Company,RI,Northeast,Stout / Porter,Dark,16,5.3,30
Hijack,Infamous Brewing Company,TX,South,Pale Ale,Ale,12,5.5,20
Jacaranada Rye IPA,Claremont Craft Ales,CA,West,IPA,Strong Ale,16,6.7,60
Lil SIPA,Rivertown Brewing Company,OH,Midwest,IPA,Strong Ale,16,5.0,55
Voodoo Love Child,Voodoo Brewery,PA,Northeast,Belgian,Ale,12,9.2,25
White Magick of the Sun,Voodoo Brewery,PA,Northeast,Belgian,Ale,12,7.9,23
Stone Fort Brown Ale,Seventh Son Brewing Company,OH,Midwest,Dark Ale,Dark,16,5.3,20
Seventh Son Hopped Red Ale,Seventh Son Brewing Company,OH,Midwest,Dark Ale,Dark,16,7.7,40
Humulus Nimbus Super Pale Ale,Seventh Son Brewing Company,OH,Midwest,Pale Ale,Ale,16,6.0,53
Golden Ratio IPA,Seventh Son Brewing Company,OH,Midwest,IPA,Strong Ale,16,7.0,68
Hemlock Double IPA,Big Choice Brewing,CO,West,IPA,Strong Ale,12,9.5,104
GreyBeard™ IPA,Pisgah Brewing Company,NC,South,IPA,Strong Ale,12,6.9,51
Pisgah Pale Ale,Pisgah Brewing Company,NC,South,Pale Ale,Ale,12,5.7,31
Juke Joint IPA,Tin Roof Brewing Company,LA,South,IPA,Strong Ale,12,7.0,60
Just IPA,The Just Beer Project,VT,Northeast,IPA,Strong Ale,12,4.6,45
Bronx Summer Pale Ale,The Bronx Brewery,NY,Northeast,Pale Ale,Ale,16,5.2,16
Bronx Black Pale Ale,The Bronx Brewery,NY,Northeast,Dark Ale,Dark,16,5.7,46
Dead Armadillo Amber Ale,Dead Armadillo Craft Brewing,OK,South,Dark Ale,Dark,12,6.3,37
Mississippi Fire Ant,Southern Prohibition Brewing Com...,MS,Midwest,Dark Ale,Dark,16,8.0,80
A Slice of Hefen,La Cumbre Brewing Company,NM,West,German Ale,Ale,16,5.4,15
Le Mort Vivant,Southern Star Brewing Company,TX,South,Ale - Other,Ale,12,6.9,23
BLAKKR,Surly Brewing Company,MN,Midwest,Dark Ale,Dark,16,9.9,85
805,Firestone Walker Brewing Company,CA,West,Pale Ale,Ale,12,4.7,20
Wynona's Big Brown Ale,Voodoo Brewery,PA,Northeast,Dark Ale,Dark,12,7.5,31
Gran Met,Voodoo Brewery,PA,Northeast,Belgian,Ale,12,9.2,25
Red Cockaded Ale,Southern Star Brewing Company,TX,South,IPA,Strong Ale,12,8.5,110
Kilt Dropper Scotch Ale,Bonfire Brewing Company,CO,West,Strong Ale,Strong Ale,16,7.5,22
Hopped on the High Seas (Hop #529),Cigar City Brewing Company,FL,South,IPA,Strong Ale,12,7.0,60
Hopped on the High Seas (Calypso),Cigar City Brewing Company,FL,South,IPA,Strong Ale,12,7.0,60
Hop Nosh IPA,Uinta Brewing Company,UT,West,IPA,Strong Ale,12,7.3,83
Iron Horse Pale Ale,Fargo Brewing Company,ND,Midwest,Pale Ale,Ale,12,5.0,32
Firemans #4 Blonde Ale (2013),Real Ale Brewing Company,TX,South,Pale Ale,Ale,12,5.1,21
Big Sky IPA,Big Sky Brewing Company,MT,West,IPA,Strong Ale,12,6.2,65
Scape Goat Pale Ale,Big Sky Brewing Company,MT,West,Pale Ale,Ale,12,5.0,40
Montana Trout Slayer Ale,Big Sky Brewing Company,MT,West,Pale Ale,Ale,12,5.0,35
Moose Drool Brown Ale,Big Sky Brewing Company,MT,West,Dark Ale,Dark,12,5.1,26
Wick For Brains,Nebraska Brewing Company,NE,Midwest,Ale - Other,Ale,12,6.1,11
Great Crescent IPA,Great Crescent Brewery,IN,Midwest,IPA,Strong Ale,16,6.2,60
Aurora Lager,Great Crescent Brewery,IN,Midwest,German Lager,Lager,16,5.7,27
Great Crescent Blonde Ale,Great Crescent Brewery,IN,Midwest,Pale Ale,Ale,16,5.3,22
Wolf Among Weeds IPA,Golden Road Brewing,CA,West,IPA,Strong Ale,16,8.0,70
Hi-Res,Sixpoint Craft Ales,NY,Northeast,IPA,Strong Ale,12,9.9,111
Dry-Hopped On The High Seas Caribbean-Style IPA,Cigar City Brewing Company,FL,South,IPA,Strong Ale,12,7.0,60
Hopped on the High Seas (Citra),Cigar City Brewing Company,FL,South,IPA,Strong Ale,12,7.0,60
Hopped on the High Seas (Ahtanum),Cigar City Brewing Company,FL,South,IPA,Strong Ale,12,7.0,60
Stir Crazy Winter Ale,Indeed Brewing Company,MN,Midwest,Dark Ale,Dark,12,6.5,22
American Hero,Liquid Hero Brewery,PA,Northeast,Dark Ale,Dark,12,5.7,42
Schweet Ale,Liquid Hero Brewery,PA,Northeast,Sour,Other,12,5.2,20
Irregardless IPA,Liquid Hero Brewery,PA,Northeast,IPA,Strong Ale,12,6.5,75
Category 3 IPA,Due South Brewing Company,FL,South,IPA,Strong Ale,12,6.1,64
Squatters Hop Rising Double IPA (2014),Utah Brewers Cooperative,UT,West,IPA,Strong Ale,12,9.0,75
KelSo Nut Brown Lager,KelSo Beer Company,NY,Northeast,Lager,Lager,12,5.7,19
The Great Return,Hardywood Park Craft Brewery,VA,South,IPA,Strong Ale,16,7.5,70
Troopers Alley IPA,Wolf Hills Brewing Company,VA,South,IPA,Strong Ale,12,5.9,135
Madra Allta,Lavery Brewing Company,PA,Northeast,IPA,Strong Ale,12,6.4,95
Chaotic Double IPA,Manzanita Brewing Company,CA,West,IPA,Strong Ale,12,9.9,93
Manzanita IPA,Manzanita Brewing Company,CA,West,IPA,Strong Ale,12,8.0,88
Riverwalk Blonde Ale,Manzanita Brewing Company,CA,West,Pale Ale,Ale,12,6.0,25
Gillespie Brown Ale,Manzanita Brewing Company,CA,West,Dark Ale,Dark,12,9.5,49
Manzanita Pale Ale,Manzanita Brewing Company,CA,West,Pale Ale,Ale,12,6.6,44
Oakshire Amber Ale,Oakshire Brewing,OR,West,Dark Ale,Dark,12,5.4,24
Overcast Espresso Stout,Oakshire Brewing,OR,West,Stout / Porter,Dark,12,5.8,27
King Street IPA,King Street Brewing Company,AK,West,IPA,Strong Ale,12,6.0,70
King Street Hefeweizen,King Street Brewing Company,AK,West,German Ale,Ale,12,5.7,10
Sobek & Set,Finch's Beer Company,IL,Midwest,Dark Ale,Dark,16,8.0,80
Wet Hot American Wheat Ale,Finch's Beer Company,IL,Midwest,Pale Ale,Ale,16,5.0,22
Trailhead ISA,Two Beers Brewing Company,WA,West,IPA,Strong Ale,12,4.8,48
Immersion Amber,Two Beers Brewing Company,WA,West,Dark Ale,Dark,12,5.2,27
Evo IPA,Two Beers Brewing Company,WA,West,IPA,Strong Ale,12,6.2,70
Wee Muckle,Sun King Brewing Company,IN,Midwest,Strong Ale,Strong Ale,16,9.0,30
Hop Bomber Rye Pale Ale,Rivertown Brewing Company,OH,Midwest,Pale Ale,Ale,16,5.5,60
Chai Ale,Central Coast Brewing Company,CA,West,Other,Other,16,5.1,15
Lucky Day IPA,Central Coast Brewing Company,CA,West,IPA,Strong Ale,16,7.2,85
Terrace Hill Double IPA,Central Coast Brewing Company,CA,West,IPA,Strong Ale,16,9.5,99
Catch 23,Central Coast Brewing Company,CA,West,Dark Ale,Dark,16,7.5,77
Better Weather IPA,Golden Road Brewing,CA,West,IPA,Strong Ale,16,9.4,92
Night Cat (2014),Two Brothers Brewing Company,IL,Midwest,Dark Ale,Dark,12,5.8,43
Belgian Style Session Ale,Manayunk Brewing Company,PA,Northeast,Pale Ale,Ale,12,4.5,21
Jam Session,NoDa Brewing Company,NC,South,Pale Ale,Ale,16,5.1,31
Hop Drop 'N Roll IPA,NoDa Brewing Company,NC,South,IPA,Strong Ale,16,7.2,80
Pumpkin Beast,Aviator Brewing Company,NC,South,Ale - Other,Ale,12,6.2,17
Hop Slayer Double IPA,Wild Onion Brewing Company,IL,Midwest,IPA,Strong Ale,12,8.2,100
The 12th Can™,Hilliard's Beer,WA,West,Pale Ale,Ale,16,4.5,32
Gyptoberfest,Bonfire Brewing Company,CO,West,German Lager,Lager,12,5.6,26
Half Cycle IPA,Flat 12 Bierwerks,IN,Midwest,IPA,Strong Ale,16,6.0,104
Initial Point India Pale Ale,Slanted Rock Brewing Company,ID,West,IPA,Strong Ale,12,7.1,92
Global Warmer,Sixpoint Craft Ales,NY,Northeast,Strong Ale,Strong Ale,12,7.0,70
Snow King Pale Ale,Snake River Brewing Company,WY,West,Pale Ale,Ale,12,6.0,55
Festeroo Winter Ale,Hop Valley Brewing Company,OR,West,Strong Ale,Strong Ale,12,7.8,60
Chickawawa Lemonale,Great River Brewery,IA,Midwest,Sour,Other,12,5.0,5
Good Vibes IPA,Voodoo Brewery,PA,Northeast,IPA,Strong Ale,12,7.3,85
Dagger Falls IPA,Sockeye Brewing Company,ID,West,IPA,Strong Ale,12,6.3,100
Dagger Falls IPA,Sockeye Brewing Company,ID,West,IPA,Strong Ale,12,6.3,100
Maylani's Coconut Stout,Airways Brewing Company,WA,West,Stout / Porter,Dark,16,5.3,35
Autumnation (2013),Sixpoint Craft Ales,NY,Northeast,IPA,Strong Ale,16,6.7,74
Sly Fox Christmas Ale 2013,Sly Fox Brewing Company,PA,Northeast,Dark Ale,Dark,12,5.5,16
Fat Tire Amber Ale,New Belgium Brewing Company,CO,West,Dark Ale,Dark,12,5.2,18
Four Peaks Peach Ale,Four Peaks Brewing Company,AZ,West,Sour,Other,12,4.2,9
Scruffy's Smoked Alt,Cedar Creek Brewery,TX,South,Other,Other,16,5.1,35
Hammer & Sickle,Renegade Brewing Company,CO,West,Stout / Porter,Dark,12,9.0,60
Trolley Stop Stout,Astoria Brewing Company,OR,West,Stout / Porter,Dark,12,5.7,40
OktoberBeast,Aviator Brewing Company,NC,South,German Lager,Lager,12,7.2,22
Lahaina Town Brown,Maui Brewing Company,HI,West,Dark Ale,Dark,12,5.1,20
12th Round,RoughTail Brewing Company,OK,South,Strong Ale,Strong Ale,16,7.6,78
RoughTail IPA,RoughTail Brewing Company,OK,South,IPA,Strong Ale,16,7.0,80
Barrel Aged Farmer,Great River Brewery,IA,Midwest,Dark Ale,Dark,16,7.0,22
KelSo India Pale Ale,KelSo Beer Company,NY,Northeast,IPA,Strong Ale,12,6.0,64
Slow Hand Stout,Lucette Brewing Company,WI,Midwest,Stout / Porter,Dark,16,5.2,29
Centennial IPA,Founders Brewing Company,MI,Midwest,IPA,Strong Ale,12,7.2,65
Grandma's Pecan,The Dudes' Brewing Company,CA,West,Dark Ale,Dark,16,6.9,34
Double Trunk,The Dudes' Brewing Company,CA,West,IPA,Strong Ale,16,9.9,101
Mother in Lager,Karbach Brewing Company,TX,South,German Lager,Lager,12,5.8,25
Weekend Warrior Pale Ale,Karbach Brewing Company,TX,South,Pale Ale,Ale,12,5.5,40
Batch 69 IPA,Frankenmuth Brewery,MI,Midwest,IPA,Strong Ale,12,6.9,69
Sweet Yamma Jamma Ale,Indeed Brewing Company,MN,Midwest,Sour,Other,12,5.0,10
Dog Days Summer Ale,Round Guys Brewing,PA,Northeast,German Ale,Ale,12,4.5,28
Farmer Wirtz India Pale Ale,Bonfire Brewing Company,CO,West,IPA,Strong Ale,16,7.0,94
Full Nelson Pale Ale,Blue Mountain Brewery,VA,South,Pale Ale,Ale,12,5.9,60
Blue Mountain Classic Lager,Blue Mountain Brewery,VA,South,Lager,Lager,12,5.3,22
Starr Pils,Starr Hill Brewery,VA,South,German Lager,Lager,12,4.2,20
Proxima IPA,Hop Valley Brewing Company,OR,West,IPA,Strong Ale,12,6.3,70
Monkey Fist IPA,Shipyard Brewing Company,ME,Northeast,IPA,Strong Ale,12,6.9,65
G'KNIGHT,Oskar Blues Brewery (North Carol...,NC,South,IPA,Strong Ale,12,8.7,85
Ten Fidy,Oskar Blues Brewery (North Carol...,NC,South,Stout / Porter,Dark,12,9.9,98
Agave Wheat,Breckenridge Brewery,CO,West,Pale Ale,Ale,12,4.2,9
Modus Hoperandi,Ska Brewing Company,CO,West,IPA,Strong Ale,12,6.8,65
Barney Flats Oatmeal Stout,Anderson Valley Brewing Company,CA,West,Stout / Porter,Dark,12,5.7,13
Saison 88,Santa Fe Brewing Company,NM,West,Ale - Other,Ale,12,5.5,30
Easy Day Kolsch,Worthy Brewing Company,OR,West,German Ale,Ale,12,4.5,25
Lights Out Vanilla Cream Extra Stout,Worthy Brewing Company,OR,West,IPA,Strong Ale,12,7.7,30
Worthy IPA (2013),Worthy Brewing Company,OR,West,IPA,Strong Ale,12,6.9,69
Worthy Pale,Worthy Brewing Company,OR,West,Pale Ale,Ale,12,6.0,50
Troegenator Doublebock,Tröegs Brewing Company,PA,Northeast,German Lager,Lager,16,8.2,25
Perpetual IPA,Tröegs Brewing Company,PA,Northeast,IPA,Strong Ale,12,7.5,85
Shark Bait,Miami Brewing Company,FL,South,Sour,Other,12,5.3,11
Gator Tail Brown Ale,Miami Brewing Company,FL,South,Dark Ale,Dark,12,5.3,30
Miami Vice IPA,Miami Brewing Company,FL,South,IPA,Strong Ale,12,7.1,62
Flying Jenny Extra Pale Ale,Grey Sail Brewing of Rhode Island,RI,Northeast,Pale Ale,Ale,12,6.0,54
Country Boy IPA,Everybody's Brewing,WA,West,IPA,Strong Ale,12,6.2,80
Valkyrie Double IPA,Southern Star Brewing Company,TX,South,IPA,Strong Ale,12,9.2,100
Lomaland,Modern Times Beer,CA,West,Ale - Other,Ale,16,5.5,30
Fortunate Islands,Modern Times Beer,CA,West,Pale Ale,Ale,16,4.7,46
Black House,Modern Times Beer,CA,West,Stout / Porter,Dark,16,5.8,40
Blazing World,Modern Times Beer,CA,West,Dark Ale,Dark,16,6.5,115
Point the Way IPA,Golden Road Brewing,CA,West,IPA,Strong Ale,16,5.9,60
Golden Road Hefeweizen,Golden Road Brewing,CA,West,German Ale,Ale,16,4.6,15
Pilzilla,Voodoo Brewery,PA,Northeast,Strong Ale,Strong Ale,12,7.5,85
Falling Down Brown Ale,Old Forge Brewing Company,PA,Northeast,Dark Ale,Dark,16,6.5,65
Summer Paradise,Manayunk Brewing Company,PA,Northeast,Pale Ale,Ale,12,5.0,18
51K IPA,Blackrocks Brewery,MI,Midwest,IPA,Strong Ale,12,7.0,51
1881 California Red,Ruhstaller Beer Company,CA,West,Dark Ale,Dark,12,5.6,35
CAPT Black IPA,Ruhstaller Beer Company,CA,West,Dark Ale,Dark,12,7.3,55
Oval Beach Blonde Ale,Saugatuck Brewing Company,MI,Midwest,Pale Ale,Ale,16,5.0,11
Ananda India Pale Ale,Wiseacre Brewing Company,TN,South,IPA,Strong Ale,12,6.2,61
Tiny Bomb,Wiseacre Brewing Company,TN,South,Pale Ale,Ale,12,4.5,23
Wolverine Premium Lager,Wolverine State Brewing Company,MI,Midwest,Lager,Lager,12,4.7,15
Hideout Helles,Pug Ryan's Brewery,CO,West,German Lager,Lager,12,6.9,17
Dead Eye Dunkel,Pug Ryan's Brewery,CO,West,German Lager,Lager,12,6.0,15
Karbachtoberfest,Karbach Brewing Company,TX,South,German Lager,Lager,12,5.5,25
Powder Hound Winter Ale,Big Sky Brewing Company,MT,West,Strong Ale,Strong Ale,12,7.2,60
Sudice American Stout,Fate Brewing Company,CO,West,Stout / Porter,Dark,16,7.0,58
Parcae Belgian Style Pale Ale,Fate Brewing Company,CO,West,Pale Ale,Ale,16,5.0,20
Norns Roggenbier,Fate Brewing Company,CO,West,Ale - Other,Ale,16,5.0,20
Laimas Kölsch Style Ale,Fate Brewing Company,CO,West,German Ale,Ale,16,5.0,20
Moirai India Pale Ale,Fate Brewing Company,CO,West,IPA,Strong Ale,16,7.0,70
Overlord Imperial IPA,Tin Man Brewing Company,IN,Midwest,IPA,Strong Ale,16,8.5,115
Dale's Pale Ale,Oskar Blues Brewery,CO,West,Pale Ale,Ale,12,6.5,65
F5 IPA,COOP Ale Works,OK,South,IPA,Strong Ale,16,6.8,100
Boat Beer,Carton Brewing Company,NJ,Northeast,IPA,Strong Ale,12,4.2,35
Stone's Throw IPA,Fargo Brewing Company,ND,Midwest,Strong Ale,Strong Ale,12,4.5,19
Wood Chipper India Pale Ale,Fargo Brewing Company,ND,Midwest,IPA,Strong Ale,12,6.7,70
Tin Roof Watermelon Wheat,Tin Roof Brewing Company,LA,South,Sour,Other,12,5.0,21
