Beer,Brewery,State,Region,Style_12,Style_05,Size,ABV,IBU
Dark Star,Big Lake Brewing,MI,Midwest,Stout / Porter,Dark,16,8.0,54
Sparkle,Petoskey Brewing,MI,Midwest,Lager,Lager,16,4.1,12
Nordskye,Blackrocks Brewery,MI,Midwest,IPA,Strong Ale,12,4.8,47
Hotbox Brown,Perrin Brewing Company,MI,Midwest,Dark Ale,Dark,12,5.5,10
Gold,Perrin Brewing Company,MI,Midwest,Pale Ale,Ale,12,4.8,15
98 Problems (Cuz A Hop Ain't One),Perrin Brewing Company,MI,Midwest,IPA,Strong Ale,12,6.5,65
Veteran’s Pale Ale (VPA),Perrin Brewing Company,MI,Midwest,Pale Ale,Ale,12,5.0,40
Grapefruit IPA,Perrin Brewing Company,MI,Midwest,IPA,Strong Ale,12,5.0,35
Train Hopper,Witch's Hat Brewing Company,MI,Midwest,IPA,Strong Ale,12,5.8,72
Dirty Bastard,Founders Brewing Company,MI,Midwest,Strong Ale,Strong Ale,12,8.5,50
Damascene Apricot Sour,Tin Man Brewing Company,IN,Midwest,Sour,Other,16,5.2,12
Csar,Tin Man Brewing Company,IN,Midwest,Stout / Porter,Dark,16,12.0,90
Saucy Intruder,Black Acre Brewing Co.,IN,Midwest,Other,Other,16,7.2,75
Thai.p.a,Bare Hands Brewery,IN,Midwest,IPA,Strong Ale,16,7.0,46
Citra Faced,Three Pints Brewing,IN,Midwest,Pale Ale,Ale,16,5.5,64
Pole Barn Stout,Three Pints Brewing,IN,Midwest,Stout / Porter,Dark,16,5.5,31
Pale,Three Pints Brewing,IN,Midwest,Pale Ale,Ale,16,5.4,37
Yoshi's Nectar,Three Pints Brewing,IN,Midwest,Lager,Lager,16,5.3,27
The Gadget,Four Fathers Brewing,IN,Midwest,IPA,Strong Ale,16,6.4,90
Tribute,Indiana City Brewing,IN,Midwest,Pale Ale,Ale,12,5.8,58
Tip Off,Sun King Brewing Company,IN,Midwest,German Ale,Ale,16,5.2,29
Blonde Czich,Evil Czech Brewery,IN,Midwest,Pale Ale,Ale,16,4.9,23
Citrafest,450 North Brewing Company,IN,Midwest,IPA,Strong Ale,16,5.0,45
Deduction,Taxman Brewing Company,IN,Midwest,Belgian,Ale,12,8.0,22
Gone A-Rye,Cedar Creek Brewery,TX,South,IPA,Strong Ale,16,8.5,90
Surfrider,The Dudes' Brewing Company,CA,West,Pale Ale,Ale,16,5.2,35
Cow Creek,Twisted X Brewing Company,TX,South,Lager,Lager,12,5.4,26
Galaxy IPA,Big Muddy Brewing,IL,Midwest,IPA,Strong Ale,16,7.5,60
Gose,Lost Nation Brewing,VT,Northeast,Sour,Other,16,4.6,8
Vermont Pilsner,Lost Nation Brewing,VT,Northeast,German Lager,Lager,16,4.8,20
Jah Mon,Rivertowne Brewing Company,PA,Northeast,IPA,Strong Ale,12,5.0,100
Fist City,Revolution Brewing Company,IL,Midwest,Pale Ale,Ale,12,5.5,40
Wooden Rooster,Tallgrass Brewing Company,KS,Midwest,Belgian,Ale,16,8.5,34
4Beans,Sixpoint Craft Ales,NY,Northeast,Stout / Porter,Dark,12,10.0,52
Easy Jack,Firestone Walker Brewing Company,CA,West,IPA,Strong Ale,12,4.5,47
Take Two Pils,SweetWater Brewing Company,GA,South,German Lager,Lager,12,5.5,35
