Beer,Brewery,State,Region,Style_RAW,Style_12,Style_05,Size,ABV,IBU,ABV_Norm,IBU_Norm
Fenway American Pale Ale,Beer Works Brewery,,,American Pale Ale (APA),Pale Ale,Ale,12,58.0,45,0.464,
Firestarter India Pale Ale,Bonfire Brewing Company,CO,West,American IPA,IPA,Strong Ale,12,66.0,72,0.528,
Watermelon Ale,Thomas Hooker Brewing Company,CT,Northeast,Fruit / Vegetable Beer,Sour,Other,12,51.0,11,0.408,
Back Bay IPA,Beer Works Brewery,,,American IPA,IPA,Strong Ale,12,68.0,85,0.544,
Bunker Hill Blueberry Ale,Beer Works Brewery,,,Other,Other,Other,12,48.0,16,0.384,
4000 Footer IPA,"Woodstock Inn, Station & Brewery",NH,Northeast,American IPA,IPA,Strong Ale,12,65.0,82,0.52,
Unchained #18 Hop Silo,Summit Brewing Company,MN,Midwest,American Double / Imperial IPA,IPA,Strong Ale,16,83.0,100,0.664,
Consilium,Renegade Brewing Company,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,50.0,40,0.4,
Cali Creamin',Mother Earth Brew Company,CA,West,Cream Ale,Pale Ale,Ale,12,52.0,21,0.416,
Deception,Black Market Brewing Company,CA,West,American Blonde Ale,Pale Ale,Ale,12,45.0,16,0.36,
Harness the Winter,Bent Paddle Brewing Company,MN,Midwest,American IPA,IPA,Strong Ale,12,72.0,87,0.576,
Rule G IPA,Smartmouth Brewing Company,VA,South,American IPA,IPA,Strong Ale,12,70.0,88,0.56,
Murphy's Law,Smartmouth Brewing Company,VA,South,American Amber / Red Ale,Dark Ale,Dark,12,58.0,35,0.464,
Alter Ego,Smartmouth Brewing Company,VA,South,Saison / Farmhouse Ale,Ale - Other,Ale,12,62.0,33,0.496,
Hop in the ‘Pool Helles,Base Camp Brewing Co.,OR,West,American Pilsner,Pale Ale,Ale,12,49.0,22,0.392,
P-Town Pilsner,Alameda Brewing,OR,West,American Pilsner,Pale Ale,Ale,12,40.0,20,0.32,
Klickitat Pale Ale,Alameda Brewing,OR,West,American Pale Ale (APA),Pale Ale,Ale,12,53.0,36,0.424,
Yellow Wolf Imperial IPA,Alameda Brewing,OR,West,American Double / Imperial IPA,IPA,Strong Ale,12,82.0,103,0.656,
Nonstop Hef Hop,Hopworks Urban Brewery,OR,West,American Pale Wheat Ale,Pale Ale,Ale,16,39.0,20,0.312,
Rise Up Red,Hopworks Urban Brewery,OR,West,American Amber / Red Ale,Dark Ale,Dark,16,58.0,60,0.464,
Pine Belt Pale Ale,Southern Star Brewing Company,TX,South,American Pale Ale (APA),Pale Ale,Ale,12,65.0,45,0.52,
Third Eye Enlightened Pale Ale,Steamworks Brewing Company,CO,West,American Pale Ale (APA),Pale Ale,Ale,12,65.0,65,0.52,
Laka Laka Pineapple,Horny Goat Brew Pub,WI,Midwest,Hefeweizen,German Ale,Ale,12,51.0,17,0.408,
IPA #11,Cheboygan Brewing Company,MI,Midwest,American IPA,IPA,Strong Ale,16,57.0,58,0.456,
Blood Orange Honey,Cheboygan Brewing Company,MI,Midwest,Fruit / Vegetable Beer,Sour,Other,16,57.0,10,0.456,
