Beer,Brewery,State,Region,Style_RAW,Style_12,Style_05,Size,ABV,IBU,ABV_Norm,IBU_Norm
312 Urban Wheat Ale,Goose Island Brewing Company,IL,Midwest,American Pale Wheat Ale,Pale Ale,Ale,16,42.0,18,0.336,
Survival Stout,Hopworks Urban Brewery,OR,West,American Stout,Stout / Porter,Dark,16,58.0,35,0.464,
Hopworks IPA,Hopworks Urban Brewery,OR,West,American IPA,IPA,Strong Ale,16,66.0,75,0.528,
Goose Island India Pale Ale,Goose Island Brewery Company,IL,Midwest,American IPA,IPA,Strong Ale,12,59.0,55,0.472,
Rubberneck Red,Martin House Brewing Company,TX,South,American Amber / Red Ale,Dark Ale,Dark,16,50.0,35,0.4,
Couch Select Lager,Burnside Brewing Co.,OR,West,American Pale Lager,Lager,Lager,12,50.0,14,0.4,
Double D Blonde,Hop Valley Brewing Company,OR,West,American Blonde Ale,Pale Ale,Ale,12,49.0,20,0.392,
Worthy IPA,Worthy Brewing Company,OR,West,American IPA,IPA,Strong Ale,12,69.0,69,0.552,
Abominable Winter Ale,Hopworks Urban Brewery,OR,West,American Strong Ale,Strong Ale,Strong Ale,16,73.0,70,0.584,
Loki Red Ale,Fearless Brewing Company,OR,West,American Amber / Red Ale,Dark Ale,Dark,16,75.0,53,0.6,
Campside Session IPA,Upland Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,45.0,50,0.36,
In-Tents India Pale Lager,Base Camp Brewing Co.,OR,West,American Pale Lager,Lager,Lager,12,68.0,62,0.544,
Lost Meridian Wit,Base Camp Brewing Co.,OR,West,Witbier,Belgian,Ale,12,50.0,20,0.4,
Celestial Meridian Cascadian Dark Lager,Base Camp Brewing Co.,OR,West,Euro Dark Lager,Lager,Lager,12,51.0,45,0.408,
Tsunami IPA,Mehana Brewing Co.,HI,West,American IPA,IPA,Strong Ale,12,72.0,75,0.576,
Humpback Blonde Ale,Mehana Brewing Co.,HI,West,American Blonde Ale,Pale Ale,Ale,12,42.0,22,0.336,
Volcano Red Ale,Mehana Brewing Co.,HI,West,American Amber / Red Ale,Dark Ale,Dark,12,52.0,23,0.416,
Mauna Kea Pale Ale,Mehana Brewing Co.,HI,West,American Pale Ale (APA),Pale Ale,Ale,12,54.0,42,0.432,
Mound Builder IPA,People's Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,12,65.0,77,0.52,
Amazon Princess IPA,People's Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,12,62.0,62,0.496,
Evil Owl,Branchline Brewing Company,TX,South,American Amber / Red Ale,Dark Ale,Dark,12,52.0,40,0.416,
Dream Crusher Double IPA,Deep Ellum Brewing Company,TX,South,American Double / Imperial IPA,IPA,Strong Ale,12,85.0,100,0.68,
Lewbricator Wheat Dopplebock,Kalona Brewing Company,IA,Midwest,Doppelbock,German Lager,Lager,12,75.0,24,0.6,
Joey Wheat,Burn 'Em Brewing,IN,Midwest,American Pale Wheat Ale,Pale Ale,Ale,16,68.0,16,0.544,
City of the Sun,Modern Times Beer,CA,West,American IPA,IPA,Strong Ale,16,75.0,85,0.6,
3:33 Black IPA,Burn 'Em Brewing,IN,Midwest,American IPA,IPA,Strong Ale,16,72.0,86,0.576,
Booming Rollers,Modern Times Beer,CA,West,American IPA,IPA,Strong Ale,16,68.0,75,0.544,
Oneida,Modern Times Beer,CA,West,American Pale Ale (APA),Pale Ale,Ale,16,52.0,50,0.416,
Aurora,Modern Times Beer,CA,West,American Amber / Red Ale,Dark Ale,Dark,16,67.0,75,0.536,
North Third Stout,Blackrocks Brewery,MI,Midwest,Foreign / Export Stout,Stout / Porter,Dark,12,60.0,30,0.48,
Onyx Black Ale,Stevens Point Brewery,WI,Midwest,American Black Ale,Dark Ale,Dark,12,52.0,9,0.416,
Beyond The Pale IPA,Stevens Point Brewery,WI,Midwest,American IPA,IPA,Strong Ale,12,63.0,64,0.504,
#002 American I.P.A.,Wisconsin Brewing Company,WI,Midwest,American IPA,IPA,Strong Ale,12,71.0,60,0.568,
#004 Session I.P.A.,Wisconsin Brewing Company,WI,Midwest,American IPA,IPA,Strong Ale,12,48.0,38,0.384,
Robert Earl Keen Honey Pils,Pedernales Brewing Company,TX,South,American Pilsner,Pale Ale,Ale,12,50.0,17,0.4,
Screamin’ Pumpkin,Griffin Claw Brewing Company,MI,Midwest,Pumpkin Ale,Ale - Other,Ale,16,50.0,25,0.4,
El Rojo,Griffin Claw Brewing Company,MI,Midwest,American Amber / Red Ale,Dark Ale,Dark,16,65.0,25,0.52,
Grind Line,Griffin Claw Brewing Company,MI,Midwest,American Pale Ale (APA),Pale Ale,Ale,16,50.0,35,0.4,
Dad,Rhinegeist Brewery,OH,Midwest,American Amber / Red Ale,Dark Ale,Dark,12,60.0,60,0.48,
Monarch Classic American Wheat,Grapevine Craft Brewery,TX,South,American Pale Wheat Ale,Pale Ale,Ale,12,43.0,21,0.344,
Sir William's English Brown Ale,Grapevine Craft Brewery,TX,South,English Brown Ale,Dark Ale,Dark,12,49.0,21,0.392,
Lakefire Rye Pale Ale,Grapevine Craft Brewery,TX,South,American Pale Ale (APA),Pale Ale,Ale,12,55.0,35,0.44,
1836,Buffalo Bayou Brewing Company,TX,South,American Blonde Ale,Pale Ale,Ale,12,60.0,40,0.48,
Summer's Wit,Buffalo Bayou Brewing Company,TX,South,Witbier,Belgian,Ale,12,60.0,20,0.48,
More Cowbell,Buffalo Bayou Brewing Company,TX,South,American Double / Imperial IPA,IPA,Strong Ale,16,90.0,118,0.72,
Point Special (2013),Stevens Point Brewery,WI,Midwest,American Adjunct Lager,Lager,Lager,12,47.0,9,0.376,
Point Special (2012),Stevens Point Brewery,WI,Midwest,American Adjunct Lager,Lager,Lager,12,47.0,9,0.376,
First Stand,Texian Brewing Co.,TX,South,Saison / Farmhouse Ale,Ale - Other,Ale,12,55.0,35,0.44,
Battle LIne,Texian Brewing Co.,TX,South,American Brown Ale,Dark Ale,Dark,12,63.0,23,0.504,
Broken Bridge,Texian Brewing Co.,TX,South,Dunkelweizen,German Ale,Ale,12,56.0,12,0.448,
Brutus,Texian Brewing Co.,TX,South,English India Pale Ale (IPA),IPA,Strong Ale,12,71.0,69,0.568,
Point Special Lager,Stevens Point Brewery,WI,Midwest,American Adjunct Lager,Lager,Lager,16,47.0,9,0.376,
What the Butler Saw,Forgotten Boardwalk,NJ,Northeast,Witbier,Belgian,Ale,12,50.0,18,0.4,
1916 Shore Shiver,Forgotten Boardwalk,NJ,Northeast,American IPA,IPA,Strong Ale,12,69.0,65,0.552,
Laughing Dog Cream Ale,Laughing Dog Brewing Company,ID,West,Cream Ale,Pale Ale,Ale,12,50.0,12,0.4,
Even Keel,Ballast Point Brewing Company,CA,West,American IPA,IPA,Strong Ale,12,38.0,40,0.304,
Aprè Shred,Big Choice Brewing,CO,West,American Strong Ale,Strong Ale,Strong Ale,16,81.0,17,0.648,
Yard Sale Winter Lager,Uinta Brewing Company,UT,West,American Amber / Red Lager,Lager,Lager,12,40.0,22,0.32,
Arcus IPA,Big Storm Brewing Company,FL,South,American IPA,IPA,Strong Ale,12,69.0,81,0.552,
Wavemaker,Big Storm Brewing Company,FL,South,American Amber / Red Ale,Dark Ale,Dark,12,58.0,38,0.464,
Epitome,Carton Brewing Company,NJ,Northeast,American Black Ale,Dark Ale,Dark,16,99.0,100,0.792,
Pleasure Town,Midnight Sun Brewing Company,AK,West,American IPA,IPA,Strong Ale,12,63.0,61,0.504,
Trail Head,Fat Head's Brewery,OH,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,63.0,55,0.504,
Hop Stalker Fresh Hop IPA,Fat Head's Brewery,OH,Midwest,American IPA,IPA,Strong Ale,16,70.0,80,0.56,
Blood Orange Wit,Refuge Brewery,CA,West,Witbier,Belgian,Ale,16,50.0,16,0.4,
Hop Up Offa That Brett (2014),Sun King Brewing Company,IN,Midwest,Belgian Pale Ale,Pale Ale,Ale,16,58.0,20,0.464,
PV Muckle (2013),Sun King Brewing Company,IN,Midwest,Scotch Ale / Wee Heavy,Strong Ale,Strong Ale,16,83.0,23,0.664,
Bourbon Barrel Batch 666: Sympathy for the Devil,Sun King Brewing Company,IN,Midwest,Belgian Dark Ale,Belgian,Ale,16,99.0,36,0.792,
Whip Fight,Sun King Brewing Company,IN,Midwest,Scotch Ale / Wee Heavy,Strong Ale,Strong Ale,16,90.0,30,0.72,
Port Barrel Wee Mac,Sun King Brewing Company,IN,Midwest,Scotch Ale / Wee Heavy,Strong Ale,Strong Ale,16,53.0,23,0.424,
8 Barrel,Chatham Brewing,NY,Northeast,American Strong Ale,Strong Ale,Strong Ale,16,80.0,69,0.64,
Oktoberfest,Chatham Brewing,NY,Northeast,Märzen / Oktoberfest,German Lager,Lager,16,55.0,40,0.44,
No Wake IPA,Geneva Lake Brewing Company,WI,Midwest,American IPA,IPA,Strong Ale,12,72.0,50,0.576,
Boathouse Blonde,Geneva Lake Brewing Company,WI,Midwest,American Blonde Ale,Pale Ale,Ale,12,49.0,15,0.392,
Cedar Point,Geneva Lake Brewing Company,WI,Midwest,American Amber / Red Ale,Dark Ale,Dark,12,50.0,26,0.4,
Winter Warmer (Vault Series),SanTan Brewing Company,AZ,West,Winter Warmer,Dark Ale,Dark,16,95.0,25,0.76,
London Homesick Ale,Oasis Texas Brewing Company,TX,South,English Bitter,Sour,Other,12,49.0,27,0.392,
Luchesa Lager,Oasis Texas Brewing Company,TX,South,Keller Bier / Zwickel Bier,German Lager,Lager,12,48.0,35,0.384,
Slow Ride,Oasis Texas Brewing Company,TX,South,American Pale Ale (APA),Pale Ale,Ale,12,48.0,35,0.384,
Imperial Pumpkin Stout,Cape Ann Brewing Company,,,Pumpkin Ale,Ale - Other,Ale,16,99.0,43,0.792,
Dead-Eye DIPA,Cape Ann Brewing Company,,,American Double / Imperial IPA,IPA,Strong Ale,16,90.0,130,0.72,
Fisherman's IPA,Cape Ann Brewing Company,,,American IPA,IPA,Strong Ale,12,55.0,64,0.44,
Fisherman's Pils,Cape Ann Brewing Company,,,German Pilsener,German Lager,Lager,12,54.0,35,0.432,
Fisherman's Brew,Cape Ann Brewing Company,,,American Amber / Red Ale,Dark Ale,Dark,12,55.0,30,0.44,
Count Hopula (Vault Series),SanTan Brewing Company,AZ,West,American Double / Imperial IPA,IPA,Strong Ale,16,91.0,99,0.728,
Weize Guy,Joseph James Brewing Company,NV,West,Hefeweizen,German Ale,Ale,12,50.0,15,0.4,
UFO Gingerland,Harpoon Brewery,,,Herbed / Spiced Beer,Other,Other,12,52.0,15,0.416,
Black Me Stout,Champion Brewing Company,VA,South,American Stout,Stout / Porter,Dark,12,60.0,45,0.48,
Killer Kolsch,Champion Brewing Company,VA,South,Kölsch,German Ale,Ale,12,50.0,22,0.4,
Pale Alement,Burn 'Em Brewing,IN,Midwest,American Pale Ale (APA),Pale Ale,Ale,16,55.0,40,0.44,
Dankosaurus,Cedar Creek Brewery,TX,South,American IPA,IPA,Strong Ale,16,68.0,70,0.544,
Bravo Four Point,Devil's Backbone Brewing Company,VA,South,American Pale Ale (APA),Pale Ale,Ale,12,44.0,45,0.352,
Cream Ale,Newburgh Brewing Company,NY,Northeast,Cream Ale,Pale Ale,Ale,12,42.0,35,0.336,
Might As Well IPL,Golden Road Brewing,CA,West,American Pale Lager,Lager,Lager,16,72.0,75,0.576,
Captain's Daughter,Grey Sail Brewing Company,RI,Northeast,American Double / Imperial IPA,IPA,Strong Ale,12,85.0,69,0.68,
Skylight,New Republic Brewing Company,TX,South,Dunkelweizen,German Ale,Ale,12,56.0,20,0.448,
Kadigan,New Republic Brewing Company,TX,South,American Blonde Ale,Pale Ale,Ale,12,56.0,30,0.448,
Dammit Jim!,New Republic Brewing Company,TX,South,American Amber / Red Ale,Dark Ale,Dark,12,52.0,50,0.416,
Infamous IPA,Infamous Brewing Company,TX,South,American IPA,IPA,Strong Ale,12,70.0,75,0.56,
Getaway,Lift Bridge Brewing Company,MN,Midwest,German Pilsener,German Lager,Lager,16,52.0,30,0.416,
Pub Ale,Lucky Town Brewing Company,MS,Midwest,English Dark Mild Ale,Dark Ale,Dark,12,38.0,18,0.304,
Ballistic Blonde,Lucky Town Brewing Company,MS,Midwest,Belgian Pale Ale,Pale Ale,Ale,12,51.0,31,0.408,
Golden Fleece,Quest Brewing Company,SC,South,Belgian Pale Ale,Pale Ale,Ale,12,45.0,35,0.36,
Tropicalia,Creature Comforts,GA,South,American IPA,IPA,Strong Ale,12,65.0,65,0.52,
Pursuit,Half Full Brewery,CT,Northeast,American IPA,IPA,Strong Ale,12,70.0,40,0.56,
Vertex IPA,Destihl Brewery,IL,Midwest,American IPA,IPA,Strong Ale,12,63.0,76,0.504,
Here Gose Nothin',Destihl Brewery,IL,Midwest,Gose,Sour,Other,12,50.0,12,0.4,
Ale Cider,Chapman's Brewing,IN,Midwest,Fruit / Vegetable Beer,Sour,Other,16,65.0,8,0.52,
Pail Ale,Chapman's Brewing,IN,Midwest,American Pale Ale (APA),Pale Ale,Ale,16,55.0,30,0.44,
Operation Homefront,Cigar City Brewing Company,FL,South,American IPA,IPA,Strong Ale,12,62.0,65,0.496,
Wandering Pelican,Cigar City Brewing Company,FL,South,American Black Ale,Dark Ale,Dark,12,82.0,65,0.656,
Norm's Gateway IPA,Griffin Claw Brewing Company,MI,Midwest,American IPA,IPA,Strong Ale,12,40.0,55,0.32,
Barrio Blanco,Barrio Brewing Company,AZ,West,American IPA,IPA,Strong Ale,12,60.0,60,0.48,
Giant DIPA,Santa Cruz Mountain Brewing,CA,West,American Double / Imperial IPA,IPA,Strong Ale,16,89.0,88,0.712,
Fistful Of Hops Red,Sun King Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,64.0,75,0.512,
Fistful of Hops Orange,Sun King Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,63.0,75,0.504,
Fistful Of Hops Blue,Sun King Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,64.0,75,0.512,
Fistful of Hops Green,Sun King Brewing Company,IN,Midwest,American IPA,IPA,Strong Ale,16,64.0,75,0.512,
The Great Pumpcan,Madtree Brewing Company,OH,Midwest,Fruit / Vegetable Beer,Sour,Other,16,79.0,18,0.632,
Franz,Rhinegeist Brewery,OH,Midwest,Märzen / Oktoberfest,German Lager,Lager,12,52.0,21,0.416,
Cherry Ale,Great Crescent Brewery,IN,Midwest,Fruit / Vegetable Beer,Sour,Other,16,57.0,18,0.456,
Shift,New Belgium Brewing Company,CO,West,American Pale Lager,Lager,Lager,12,50.0,29,0.4,
Bitter Bitch,18th Street Brewery,IN,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,61.0,60,0.488,
1554 Black Lager,New Belgium Brewing Company,CO,West,Euro Dark Lager,Lager,Lager,12,56.0,21,0.448,
LuckenBock,South Austin Brewery,TX,South,Bock,German Lager,Lager,16,70.0,18,0.56,
Texas Pale Ale (TPA),South Austin Brewery,TX,South,American IPA,IPA,Strong Ale,16,55.0,40,0.44,
Kol' Beer,South Austin Brewery,TX,South,Kölsch,German Ale,Ale,16,50.0,22,0.4,
FMB 101,Figueroa Mountain Brewing Company,CA,West,Kölsch,German Ale,Ale,12,48.0,20,0.384,
Wagon Party,Bauhaus Brew Labs,MN,Midwest,California Common / Steam Beer,Lager,Lager,12,54.0,55,0.432,
Sky-Five,Bauhaus Brew Labs,MN,Midwest,American IPA,IPA,Strong Ale,12,67.0,70,0.536,
Stargrazer,Bauhaus Brew Labs,MN,Midwest,Schwarzbier,German Lager,Lager,12,50.0,28,0.4,
Wonderstuff,Bauhaus Brew Labs,MN,Midwest,German Pilsener,German Lager,Lager,12,54.0,48,0.432,
Sensi Harvest,Sixpoint Craft Ales,NY,Northeast,American Pale Ale (APA),Pale Ale,Ale,12,47.0,50,0.376,
Ozark American Pale Ale,Ozark Beer Company,AR,South,American Pale Ale (APA),Pale Ale,Ale,12,40.0,39,0.32,
Saison Pamplemousse,Golden Road Brewing,CA,West,Saison / Farmhouse Ale,Ale - Other,Ale,12,58.0,35,0.464,
Ghost Ship White IPA,Capital Brewery,WI,Midwest,American IPA,IPA,Strong Ale,12,56.0,55,0.448,
Upland Wheat Ale,Upland Brewing Company,IN,Midwest,Witbier,Belgian,Ale,16,45.0,15,0.36,
Overgrown American Pale Ale,Otter Creek Brewing,VT,Northeast,American Pale Ale (APA),Pale Ale,Ale,12,55.0,55,0.44,
077XX,Carton Brewing Company,NJ,Northeast,American Double / Imperial IPA,IPA,Strong Ale,16,78.0,80,0.624,
Almanac IPA,Tractor Brewing Company,NM,West,American IPA,IPA,Strong Ale,12,62.0,72,0.496,
Farmer's Tan Red Ale,Tractor Brewing Company,NM,West,American Amber / Red Ale,Dark Ale,Dark,12,60.0,30,0.48,
Zen,Rhinegeist Brewery,OH,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,43.0,45,0.344,
SunSpot Golden Ale,SanTan Brewing Company,AZ,West,American Blonde Ale,Pale Ale,Ale,12,50.0,15,0.4,
Missile IPA,Champion Brewing Company,VA,South,American IPA,IPA,Strong Ale,12,70.0,65,0.56,
Thai Style White IPA,Upslope Brewing Company,CO,West,American White IPA,IPA,Strong Ale,12,65.0,33,0.52,
Summer Session Ale,Peak Organic Brewing Company,ME,Northeast,American Pale Wheat Ale,Pale Ale,Ale,12,50.0,61,0.4,
Second Fiddle,Fiddlehead Brewing Company,VT,Northeast,American Double / Imperial IPA,IPA,Strong Ale,16,82.0,80,0.656,
Cape Cod Red,Cape Cod Beer,,,American Amber / Red Ale,Dark Ale,Dark,16,55.0,35,0.44,
Beach Blonde,Cape Cod Beer,,,American Blonde Ale,Pale Ale,Ale,16,49.0,10,0.392,
Long Trail IPA,Long Trail Brewing Company,VT,Northeast,English India Pale Ale (IPA),IPA,Strong Ale,12,59.0,42,0.472,
Trader Session IPA,Uinta Brewing Company,UT,West,American IPA,IPA,Strong Ale,12,40.0,42,0.32,
Long Trail Ale,Long Trail Brewing Company,VT,Northeast,American Amber / Red Ale,Dark Ale,Dark,12,46.0,30,0.368,
Commotion APA,Great Raft Brewing Company,LA,South,American Pale Ale (APA),Pale Ale,Ale,12,52.0,49,0.416,
Freeride APA,Alaskan Brewing Company,AK,West,American Pale Ale (APA),Pale Ale,Ale,12,53.0,40,0.424,
Alaskan Amber,Alaskan Brewing Company,AK,West,Altbier,German Ale,Ale,12,53.0,18,0.424,
40 Mile IPA,Three Notch'd Brewing Company,VA,South,American IPA,IPA,Strong Ale,12,60.0,50,0.48,
Lake House,Capital Brewery,WI,Midwest,Munich Helles Lager,German Lager,Lager,16,46.0,18,0.368,
Fresh Slice White IPA,Otter Creek Brewing,VT,Northeast,American White IPA,IPA,Strong Ale,12,55.0,45,0.44,
Montauk Summer Ale,Montauk Brewing Company,NY,Northeast,American Blonde Ale,Pale Ale,Ale,12,56.0,28,0.448,
Sierra Nevada Pale Ale,Sierra Nevada Brewing Company,CA,West,American Pale Ale (APA),Pale Ale,Ale,16,56.0,37,0.448,
White Rabbit,Independence Brewing Company,TX,South,Witbier,Belgian,Ale,12,59.0,27,0.472,
Let It Ride IPA,Indeed Brewing Company,MN,Midwest,American IPA,IPA,Strong Ale,12,68.0,90,0.544,
Bent Hop Golden IPA,Bent Paddle Brewing Company,MN,Midwest,American IPA,IPA,Strong Ale,12,62.0,68,0.496,
Lost Sailor IPA,Berkshire Brewing Company,,,English India Pale Ale (IPA),IPA,Strong Ale,12,55.0,40,0.44,
Blackmarket Rye IPA,Black Market Brewing Company,CA,West,American IPA,IPA,Strong Ale,12,75.0,35,0.6,
Black Market Hefeweizen,Black Market Brewing Company,CA,West,Hefeweizen,German Ale,Ale,12,50.0,8,0.4,
Aftermath Pale Ale,Black Market Brewing Company,CA,West,American Pale Ale (APA),Pale Ale,Ale,12,58.0,44,0.464,
Groupe G,Headlands Brewing Company,CA,West,Belgian IPA,IPA,Strong Ale,16,76.0,65,0.608,
Pt. Bonita Rustic Lager,Headlands Brewing Company,CA,West,American Pale Lager,Lager,Lager,16,62.0,40,0.496,
Hill 88 Double IPA,Headlands Brewing Company,CA,West,American Double / Imperial IPA,IPA,Strong Ale,16,88.0,77,0.704,
Longhop IPA,Bolero Snort Brewery,NJ,Northeast,American IPA,IPA,Strong Ale,16,42.0,30,0.336,
Lucky Buck,Bolero Snort Brewery,NJ,Northeast,Irish Dry Stout,Stout / Porter,Dark,16,40.0,34,0.32,
Hoperation Overload,Destihl Brewery,IL,Midwest,American Double / Imperial IPA,IPA,Strong Ale,12,96.0,85,0.768,
Abbey's Single Ale (Current),Destihl Brewery,IL,Midwest,Abbey Single Ale,Belgian,Ale,12,49.0,22,0.392,
Thrasher Session India Pale Ale,Defiance Brewing Company,KS,Midwest,American IPA,IPA,Strong Ale,12,45.0,44,0.36,
Gutch English Style Mild Ale,Defiance Brewing Company,KS,Midwest,English Pale Mild Ale,Pale Ale,Ale,12,50.0,16,0.4,
Hop Freak,Milwaukee Brewing Company,WI,Midwest,American Double / Imperial IPA,IPA,Strong Ale,16,87.0,80,0.696,
Whitecap Wit,Catawba Island Brewing,OH,Midwest,Witbier,Belgian,Ale,16,48.0,16,0.384,
Seiche Scottish Ale,Catawba Island Brewing,OH,Midwest,Scottish Ale,Strong Ale,Strong Ale,16,78.0,16,0.624,
Naked Pig Pale Ale,Back Forty Beer Company,AL,South,American Pale Ale (APA),Pale Ale,Ale,12,60.0,43,0.48,
El Chingon IPA,Four Corners Brewing Company,TX,South,American IPA,IPA,Strong Ale,12,76.0,73,0.608,
Local Buzz,Four Corners Brewing Company,TX,South,American Blonde Ale,Pale Ale,Ale,12,52.0,20,0.416,
Contact High,4 Hands Brewing Company,,,American Pale Wheat Ale,Pale Ale,Ale,12,50.0,28,0.4,
Saint Archer White Ale,Saint Archer Brewery,CA,West,Witbier,Belgian,Ale,12,50.0,15,0.4,
Saint Archer IPA,Saint Archer Brewery,CA,West,American IPA,IPA,Strong Ale,12,68.0,66,0.544,
Saint Archer Pale Ale,Saint Archer Brewery,CA,West,American Pale Ale (APA),Pale Ale,Ale,12,52.0,40,0.416,
Saint Archer Blonde,Saint Archer Brewery,CA,West,Kölsch,German Ale,Ale,12,48.0,22,0.384,
BLAKKR,Real Ale Brewing Company,TX,South,American Black Ale,Dark Ale,Dark,12,99.0,85,0.792,
Supergoose IPA,Hale's Ales,WA,West,American IPA,IPA,Strong Ale,12,69.0,67,0.552,
IPA & a Half,Tommyknocker Brewery,CO,West,American IPA,IPA,Strong Ale,12,73.0,87,0.584,
Truth,Rhinegeist Brewery,OH,Midwest,American IPA,IPA,Strong Ale,12,72.0,75,0.576,
Cougar,Rhinegeist Brewery,OH,Midwest,American Blonde Ale,Pale Ale,Ale,12,48.0,25,0.384,
American India Red Ale,Black Shirt Brewing Company,CO,West,American Strong Ale,Strong Ale,Strong Ale,12,71.0,83,0.568,
American Red Saison,Black Shirt Brewing Company,CO,West,Saison / Farmhouse Ale,Ale - Other,Ale,12,78.0,34,0.624,
Colorado Red Ale,Black Shirt Brewing Company,CO,West,American Amber / Red Ale,Dark Ale,Dark,12,66.0,44,0.528,
Wachusett Light IPA,Wachusett Brewing Company,,,American IPA,IPA,Strong Ale,12,40.0,37,0.32,
Green Monsta IPA,Wachusett Brewing Company,,,American IPA,IPA,Strong Ale,12,60.0,55,0.48,
Wachusett IPA,Wachusett Brewing Company,,,American IPA,IPA,Strong Ale,12,56.0,50,0.448,
Original Slacker Ale,Round Guys Brewing,PA,Northeast,English Brown Ale,Dark Ale,Dark,12,56.0,40,0.448,
Chin Music Amber Lager,Center of the Universe Brewing C...,VA,South,American Amber / Red Lager,Lager,Lager,12,45.0,24,0.36,
Hefe Lemon,Widmer Brothers Brewing Company,OR,West,Radler,Other,Other,12,49.0,30,0.392,
Hefe Black,Widmer Brothers Brewing Company,OR,West,Hefeweizen,German Ale,Ale,12,49.0,30,0.392,
Widmer Brothers Hefeweizen,Widmer Brothers Brewing Company,OR,West,Hefeweizen,German Ale,Ale,12,49.0,30,0.392,
Provision,Hop Farm Brewing Company,PA,Northeast,Saison / Farmhouse Ale,Ale - Other,Ale,12,42.0,25,0.336,
One Nut Brown,Hop Farm Brewing Company,PA,Northeast,American Brown Ale,Dark Ale,Dark,12,47.0,28,0.376,
Hop Farm IPA,Hop Farm Brewing Company,PA,Northeast,American IPA,IPA,Strong Ale,12,58.0,45,0.464,
Adam's Stout,Liquid Hero Brewery,PA,Northeast,American Stout,Stout / Porter,Dark,12,58.0,40,0.464,
Our Legacy IPA,Matt Brewing Company,NY,Northeast,American IPA,IPA,Strong Ale,12,65.0,60,0.52,
Porch Rocker,Boston Beer Company,,,Radler,Other,Other,12,45.0,8,0.36,
312 Urban Wheat Ale,Goose Island Brewing Company,IL,Midwest,American Pale Wheat Ale,Pale Ale,Ale,12,42.0,18,0.336,
Squatters Hop Rising Double IPA,Utah Brewers Cooperative,UT,West,American Double / Imperial IPA,IPA,Strong Ale,12,90.0,75,0.72,
LIFT,Madtree Brewing Company,OH,Midwest,Kölsch,German Ale,Ale,12,47.0,11,0.376,
SPRYE,Madtree Brewing Company,OH,Midwest,American Pale Ale (APA),Pale Ale,Ale,12,50.0,40,0.4,
Pleasure Town IPA,Midnight Sun Brewing Company,AK,West,American IPA,IPA,Strong Ale,12,63.0,61,0.504,
#9,Magic Hat Brewing Company,VT,Northeast,Fruit / Vegetable Beer,Sour,Other,16,51.0,20,0.408,
Quarter Mile Double IPA,Blue Hills Brewery,,,American Double / Imperial IPA,IPA,Strong Ale,12,80.0,80,0.64,
The Tradition,DC Brau Brewing Company,DC,South,American Blonde Ale,Pale Ale,Ale,12,50.0,15,0.4,
Hoptopus Double IPA,Beach Brewing Company,VA,South,American Double / Imperial IPA,IPA,Strong Ale,16,88.0,108,0.704,
Rodeo Rye Pale Ale,Payette Brewing Company,ID,West,American Pale Ale (APA),Pale Ale,Ale,12,42.0,35,0.336,
Last Stop IPA,Brew Bus Brewing,FL,South,American IPA,IPA,Strong Ale,12,72.0,60,0.576,
Are Wheat There Yet?,Brew Bus Brewing,FL,South,American Pale Wheat Ale,Pale Ale,Ale,12,55.0,28,0.44,
Filthy Hoppin' IPA,Dirty Bucket Brewing Company,WA,West,American IPA,IPA,Strong Ale,16,65.0,72,0.52,
Thunder Ann,Jackalope Brewing Company,TN,South,American Pale Ale (APA),Pale Ale,Ale,12,55.0,37,0.44,
Iron Butt Red Ale,Slanted Rock Brewing Company,ID,West,American Amber / Red Ale,Dark Ale,Dark,12,58.0,39,0.464,
Hot Date Ale,Piney River Brewing Company,,,Chile Beer,Other,Other,16,60.0,20,0.48,
On the Count of 3 (2015),Baxter Brewing Company,ME,Northeast,Hefeweizen,German Ale,Ale,16,70.0,42,0.56,
2020 IPA,Golden Road Brewing,CA,West,American IPA,IPA,Strong Ale,16,74.0,74,0.592,
Autocrat Coffee Milk Stout,Narragansett Brewing Company,RI,Northeast,Milk / Sweet Stout,Stout / Porter,Dark,16,53.0,30,0.424,
Hijack,Infamous Brewing Company,TX,South,Cream Ale,Pale Ale,Ale,12,55.0,20,0.44,
Jacaranada Rye IPA,Claremont Craft Ales,CA,West,American IPA,IPA,Strong Ale,16,67.0,60,0.536,
Lil SIPA,Rivertown Brewing Company,OH,Midwest,American IPA,IPA,Strong Ale,16,50.0,55,0.4,
Voodoo Love Child,Voodoo Brewery,PA,Northeast,Tripel,Belgian,Ale,12,92.0,25,0.736,
White Magick of the Sun,Voodoo Brewery,PA,Northeast,Witbier,Belgian,Ale,12,79.0,23,0.632,
Stone Fort Brown Ale,Seventh Son Brewing Company,OH,Midwest,English Brown Ale,Dark Ale,Dark,16,53.0,20,0.424,
Seventh Son Hopped Red Ale,Seventh Son Brewing Company,OH,Midwest,American Amber / Red Ale,Dark Ale,Dark,16,77.0,40,0.616,
