Beer,Brewery,State,Region,Style_RAW,Style_12,Style_05,Size,ABV,IBU
Freeride APA,Alaskan Brewing Company,AK,West,American Pale Ale APA,Pale Ale,Ale,12,5.3,40
Alaskan Amber,Alaskan Brewing Company,AK,West,Altbier,German Ale,Ale,12,5.3,18
40 Mile IPA,Three Notchd Brewing Company,VA,South,American IPA,IPA,Strong Ale,12,6.0,50
Fresh Slice White IPA,Otter Creek Brewing,VT,Northeast,American White IPA,IPA,Strong Ale,12,5.5,45
Montauk Summer Ale,Montauk Brewing Company,NY,Northeast,American Blonde Ale,Pale Ale,Ale,12,5.6,28
Sierra Nevada Pale Ale,Sierra Nevada Brewing Company,CA,West,American Pale Ale APA,Pale Ale,Ale,16,5.6,37
White Rabbit,Independence Brewing Company,TX,South,Witbier,Belgian,Ale,12,5.9,27
Let It Ride IPA,Indeed Brewing Company,MN,Midwest,American IPA,IPA,Strong Ale,12,6.8,90
Bent Hop Golden IPA,Bent Paddle Brewing Company,MN,Midwest,American IPA,IPA,Strong Ale,12,6.2,68
Blackmarket Rye IPA,Black Market Brewing Company,CA,West,American IPA,IPA,Strong Ale,12,7.5,35
Black Market Hefeweizen,Black Market Brewing Company,CA,West,Hefeweizen,German Ale,Ale,12,5.0,8
Aftermath Pale Ale,Black Market Brewing Company,CA,West,American Pale Ale APA,Pale Ale,Ale,12,5.8,44
Groupe G,Headlands Brewing Company,CA,West,Belgian IPA,IPA,Strong Ale,16,7.6,65
Longhop IPA,Bolero Snort Brewery,NJ,Northeast,American IPA,IPA,Strong Ale,16,4.2,30
Abbeys Single Ale Current,Destihl Brewery,IL,Midwest,Abbey Single Ale,Belgian,Ale,12,4.9,22
Thrasher Session India Pale Ale,Defiance Brewing Company,KS,Midwest,American IPA,IPA,Strong Ale,12,4.5,44
Gutch English Style Mild Ale,Defiance Brewing Company,KS,Midwest,English Pale Mild Ale,Pale Ale,Ale,12,5.0,16
Whitecap Wit,Catawba Island Brewing,OH,Midwest,Witbier,Belgian,Ale,16,4.8,16
Seiche Scottish Ale,Catawba Island Brewing,OH,Midwest,Scottish Ale,Strong Ale,Strong Ale,16,7.8,16
Naked Pig Pale Ale,Back Forty Beer Company,AL,South,American Pale Ale APA,Pale Ale,Ale,12,6.0,43
El Chingon IPA,Four Corners Brewing Company,TX,South,American IPA,IPA,Strong Ale,12,7.6,73
Local Buzz,Four Corners Brewing Company,TX,South,American Blonde Ale,Pale Ale,Ale,12,5.2,20
Saint Archer White Ale,Saint Archer Brewery,CA,West,Witbier,Belgian,Ale,12,5.0,15
Saint Archer IPA,Saint Archer Brewery,CA,West,American IPA,IPA,Strong Ale,12,6.8,66
Saint Archer Pale Ale,Saint Archer Brewery,CA,West,American Pale Ale APA,Pale Ale,Ale,12,5.2,40
Saint Archer Blonde,Saint Archer Brewery,CA,West,Klsch,German Ale,Ale,12,4.8,22
Supergoose IPA,Hales Ales,WA,West,American IPA,IPA,Strong Ale,12,6.9,67
IPA  a Half,Tommyknocker Brewery,CO,West,American IPA,IPA,Strong Ale,12,7.3,87
Truth,Rhinegeist Brewery,OH,Midwest,American IPA,IPA,Strong Ale,12,7.2,75
Cougar,Rhinegeist Brewery,OH,Midwest,American Blonde Ale,Pale Ale,Ale,12,4.8,25
